0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Mejillón, crudo","1,59",286,320,26,"0,094",197,"3,95",34,"1,6","1,60",42,0,48,48,"0,160","0,210","12,00","8,0",0
"Merluza, cruda",,91,262,21,"0,03",216,"1,90",23,"0,3","1,20",12,0,0,0,"0,061","0,325","1,10","1,1","1,40"
Merluza,,130,340,17,"0,04",240,"2,47",28,"0,4","1,48",14,0,0,0,"0,071","0,401","1,29","1,1","1,73"
"Merluza, enlatada en agua y aceite",0,238,356,29,"0,04",293,"2,58",31,"0,4","1,55",11,0,0,0,"0,070","0,397","1,27","1,0","1,90"
"Milanesa de pescado, prefrita","0,9",380,288,75,"0,11",239,"3,15",33,"0,7","1,55",49,20,0,0,"0,178","0,290","0,86","0,8","1,21"
"Pacú, crudo","1,24",47,407,22,"0,03",177,"1,10",23,"0,65","3,04",12,0,0,0,"0,366","0,327","17,10",0,"1,40"
Pacú,"1,59",60,522,28,"0,04",227,"1,41",29,"0,83","3,90",15,0,0,0,"0,469","0,419","21,92",0,"1,79"
"Palometa, cruda","1,24",47,316,40,"0,03",190,"0,50",23,"0,65","3,04",12,0,0,0,"0,166","0,112","7,27",0,"1,40"
Palometa,"1,59",60,405,51,"0,04",244,"0,64",29,"0,83","3,70",11,0,0,0,"0,191","0,136","8,39",0,"1,79"
"Pejerrey, crudo","1,03",68,256,105,"0,03",311,"0,70",23,"0,3","4,50",12,0,0,0,"0,010","0,050","1,10","1,1","1,40"
Pejerrey,"1,32",87,328,135,"0,04",399,"0,90",29,"0,38","5,48",11,0,0,0,"0,012","0,058","1,20","1,0","1,79"
"Pescados de mar (ej: brótola, corvi-
na blanca, gatuso, lenguado, merlu-
za, etc.), PROMEDIO, crudo","1,24",91,262,21,"0,021",216,"1,90",21,"0,32","1,20",12,0,17,17,"0,061","0,325","1,83","1,1","0,72"
"Pescados de río (ej: dorado, palome-
ta, surubí, trucha, etc.), PROMEDIO, 
crudo","1,4",49,352,38,"0,0",204,"0,87",24,"0,7","3,43",12,0,3,3,"0,192","0,156","10,56","0,4","2,70"
"Pollo de mar, crudo","1,28",56,345,15,"0,042",210,"0,37",40,"0,42","3,10",15,0,12,12,"0,095","0,214","2,50","2,9","0,68"
"Pulpo, crudo","1,6",230,350,53,"0,435",186,"5,30",30,"1,68","2,10",16,0,45,45,"0,030","0,040","20,00","5,0",0
Rabas (restaurant),"1,2",49,212,32,"1,29",203,"1,76",28,"1,3","1,80",65,31,27,27,"0,155","0,376","1,07","3,1","0,19"
"Sábalo, crudo","1,9",47,316,40,"0,03",190,"0,50",23,"0,65","3,04",12,0,0,0,0,0,"10,00",0,"2,00"
"Salmón rosado, crudo","1,52",75,366,7,"0,063",261,"0,38",27,"0,39","8,00",4,0,35,35,"0,080","0,105","4,15",0,"10,87"
